"regulated gene","regulator gene","regulator effect"
1,686,4.05781137234061
1,805,2.3120565764395
3,686,4.46926917708603
3,805,2.26750641196479
4,686,2.23149882730154
4,1006,3.98594633704124
5,686,4.04773636246099
5,1006,2.71049259657519
6,686,3.49221064150297
6,805,4.20122535051905
7,686,3.53868467985813
8,686,1.73611639297756
9,686,2.38432844577899
10,2,4.92683123557102
11,2,2.10384428101455
12,1006,4.16635000414006
12,2,2.20227094003548
13,686,1.22989882961009
14,686,1.76748689814919
15,805,2.16374503956723
16,805,2.76555210107821
17,686,3.72022966002314
18,408,1.20867782220498
18,805,4.40446528274705
19,1006,2.73948286268023
20,686,2.56180766722999
21,232,1.45913050903691
21,1006,1.78691452235353
22,232,4.59154480762331
22,1006,2.80316287436311
23,408,1.28123659347834
24,232,2.94840086864173
25,232,2.75970170072285
26,232,3.85622993286218
27,232,3.5912970882633
28,232,3.42618949800375
29,686,3.12507760821768
30,232,4.82479052691525
31,408,4.63903425441449
32,408,2.02294816194041
33,805,3.35916367042079
34,408,3.21512654443454
35,2,2.30571693743022
36,686,3.92349517820816
37,232,4.23452696664163
38,232,4.50567925508351
39,408,3.72228717564337
39,686,1.77888075167318
40,408,3.08690065744935
40,686,3.279407898025
41,408,4.90603450101874
41,686,4.56450114708488
42,232,3.65016656580486
43,1006,1.13046267161312
44,1006,3.39724103056999
45,1006,4.69617736603102
46,1006,3.17704943042836
47,1006,3.50264130458951
48,1006,3.32474290381772
49,1006,1.84413647299739
50,1006,1.34706728576722
51,686,2.00186015149298
52,2,2.5177165093717
53,2,2.86214933478032
54,2,3.36801456213887
55,2,3.54306227757817
56,2,3.29262828018528
57,2,3.45802330081163
58,2,3.89938101703148
59,2,2.42879552370933
60,2,3.58273634433778
61,686,1.30341046151262
62,232,2.18564251499584
63,2,1.38412576908411
64,232,3.77580800545673
65,232,2.45054842969485
66,232,4.12410937651331
67,232,2.79831452875183
68,1006,4.74194143568569
69,1006,4.04187188400782
70,1006,3.0006408727048
71,1006,1.83527385576012
72,1006,4.02848287389811
73,686,2.23383970106677
73,1006,1.28303682026765
74,2,3.86234430765909
75,2,3.77174463909758
76,2,3.44836499635051
77,2,4.96323526014465
78,2,3.09079432353471
79,2,3.32496920503104
80,232,4.62291874814038
81,2,3.78682421698645
82,2,4.95177212010303
83,686,4.75872507892584
84,232,1.05174165200054
85,232,1.21103999184904
85,408,1.75524840320036
86,2,1.9718188105238
87,2,2.05742607646429
88,2,4.99241171911398
89,2,4.2986176231881
90,2,2.98422742966617
91,805,1.55110307136782
92,805,4.92325122543126
93,805,3.3946999126326
94,805,1.12948228258423
95,1006,1.1531274011969
96,1006,4.55558079988623
97,1006,1.55665504769347
98,686,2.97798648627934
99,686,4.98382066726063
100,1006,1.38188774918058
101,686,2.07876357845519
102,686,3.70909336112778
103,686,3.86040639596297
104,686,4.01477777787958
105,232,2.3621677662779
106,232,2.48739744503481
107,232,3.82145738634161
108,232,2.26453151453287
109,232,4.19523696267343
109,1006,3.03150722836383
110,2,1.31490705713882
111,686,1.07210694332065
111,2,3.74273004403581
111,232,1.85741243222464
112,686,4.07440528187744
112,2,1.24713423942727
112,232,3.99518260772681
113,686,4.23970563414306
114,686,3.13106197648265
114,805,3.58595199564683
115,686,1.27565555838933
115,805,1.61987866500555
116,686,1.02540725505105
116,805,2.88784977822857
117,686,1.1886757239207
117,805,4.13065108870716
118,686,4.51969624511463
118,805,3.70017457256003
119,686,1.93423356353958
120,686,2.13453984925328
120,805,2.75593111321088
121,2,4.02439127490174
121,805,4.67462708481946
122,2,1.10766826181849
122,805,3.23636797107174
123,1006,2.31998426484463
124,686,2.42189250186234
124,805,4.20356218688333
125,686,3.47506086002949
125,805,4.97400179357102
126,686,4.78950790546172
126,805,2.68212615587137
127,686,1.7960832493943
127,805,2.69307130753086
128,686,3.68154812499834
128,805,1.55555354102328
129,686,1.61117563647346
129,805,4.41540200137834
130,686,3.85330452823545
130,805,4.94716124724827
131,686,4.29805130782142
131,805,2.54991225624572
132,408,2.05325133071003
132,1006,4.77608816190809
133,1006,4.76062311278136
134,1006,3.5088273332581
135,1006,2.92087293550419
136,1006,4.16356057839768
137,1006,2.43367468953231
138,1006,3.88591601226381
139,1006,2.5144276362029
140,686,1.60687170728789
141,686,3.55634417307237
142,1006,3.51432716491782
143,686,3.56468670043065
144,686,4.42380933504508
145,232,1.58177122893618
146,232,1.29421070408565
147,232,4.05852324449327
148,2,2.00023760190866
149,2,3.41812146094553
150,805,2.47824988132832
151,1006,3.81597318860653
152,1006,4.23143912373682
153,686,2.47032882038953
154,1006,4.72065677248533
155,1006,2.6023519865209
156,1006,4.10680633946259
157,1006,2.72367596041942
158,1006,2.89217962789202
159,1006,2.74463632691606
